,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
0,"Ionic implantation of silicone chronic venous access devices does not alter thrombotic complications: A double-blinded, randomized clinical trial",http://www.sciencedirect.com/science/article/pii/S0039606001040934/pdfft?md5=59d24acb87f06585172b76889bcca72c&pid=1-s2.0-S0039606001040934-main.pdf,10.1067/msy.2001.113818,5/31/01,Surgery,James L. Frank & Jane L. Garb & Beth Halla & William P. Reed,Research article,Disseminated intravascular coagulation,Platelet count,300626
1,"Function of the ovary, a rÃ©sumÃ©: Fifth paper",http://www.sciencedirect.com/science/article/pii/S0002937815304427/pdfft?md5=8a9332a7218f74da3ad39b3a8c6af5fc&pid=1-s2.0-S0002937815304427-main.pdf,10.1016/S0002-9378(15)30442-7,12/31/26,American Journal of Obstetrics and Gynecology,Robert T. Frank,Research article,Hemorrhagic shock,Glucose,78029
2,Perioperative alterations in plasma endothelin-1 and echocardiographic correlates of right heart function,http://www.sciencedirect.com/science/article/pii/S1053077000900077/pdfft?md5=e66f96aa3b2e2bb6776afa88b3ee15c1&pid=1-s2.0-S1053077000900077-main.pdf,10.1016/S1053-0770(00)90007-7,4/30/00,Journal of Cardiothoracic and Vascular Anesthesia,David Amar & Martin Fleisher & Denis H. Y. Leung & Hao Zhang & Nancy Roistacher,Research article,Blood loss,Neutrophils,20723
3,"Neurosurgical Training: A Process, Not an Event",http://www.sciencedirect.com/science/article/pii/S1878875017307799/pdfft?md5=e39f4e82c8e6766e4152a6b5abde963a&pid=1-s2.0-S1878875017307799-main.pdf,10.1016/j.wneu.2017.05.080,8/31/17,World Neurosurgery,Salah G. Aoun & Jonathan White & Babu G. Welch & H. Hunt Batjer,Short communication,Disseminated intravascular coagulation,(NO),253140
4,Ultrasonography in Ocular Trauma,http://www.sciencedirect.com/science/article/pii/0002939473910246/pdfft?md5=8d5cf26c98bfbcfe0addca4e5d844ad9&pid=1-s2.0-0002939473910246-main.pdf,10.1016/0002-9394(73)91024-6,2/28/73,American Journal of Ophthalmology,D. Jackson Coleman & Robert L. Jack & Louise A. Franzen,Research article,Blunt trauma,Ultrasound,156335
5,Prevention of spinal cord complications in aortic surgery,http://www.sciencedirect.com/science/article/pii/S0002961098001330/pdfft?md5=936e60a61aac04023c5c20d7647a621f&pid=1-s2.0-S0002961098001330-main.pdf,10.1016/S0002-9610(98)00133-0,8/31/98,The American Journal of Surgery,John E. Connolly,Research article,Blunt trauma,Temperature,131777
6,<em>Hemorrhagic</em> <em>shock</em> due to mesenteric inflammatory veno-occlusive disease: An underdiagnosed cause of intestinal ischemia?,http://www.sciencedirect.com/science/article/pii/S1542356504001193/pdfft?md5=3cc721e5357c99ba9d10cbfa9b0304d4&pid=1-s2.0-S1542356504001193-main.pdf,10.1016/S1542-3565(04)00119-3,5/31/04,Clinical Gastroenterology and Hepatology,Fernando Salgado OrdÃ_Ã±ez & Rafael FÃºnez LiÃ©bana & Francisco PÃ©rez Nadal & SebastÄ±ÌÅan Palacios RodrÄ±ÌÅguez & Teresa Fuentes LÃ_pez,,Hemorrhagic shock,Pathologic,315632
7,Obesity and seatbelt use: a fatal relationship,http://www.sciencedirect.com/science/article/pii/S0735675714000163/pdfft?md5=672c3b6e827de52f7fe5533f32ded752&pid=1-s2.0-S0735675714000163-main.pdf,10.1016/j.ajem.2014.01.010,7/31/14,The American Journal of Emergency Medicine,Dietrich Jehle & Chirag Doshi & Jenna Karagianis & Joseph Consiglio & Gabrielle Jehle,Research article,Blunt trauma,Testing,107363
8,Sudden death due to massive hemoptysis secondary to pulmonary tuberculosis â€“ A case report,http://www.sciencedirect.com/science/article/pii/S1752928X13000863/pdfft?md5=50b31c3d46378036cb1d8ccccff330cd&pid=1-s2.0-S1752928X13000863-main.pdf,10.1016/j.jflm.2013.03.034,8/31/13,Journal of Forensic and Legal Medicine,Basappa S. Hugar & S. H. Jayanth & Y. P. Girish Chandra & B. S. Udaya Shankar,Short communication,Hemorrhagic shock,(NO),230891
9,Table of Contents,http://www.sciencedirect.com/science/article/pii/S0039606010006872/pdfft?md5=03b26e31a16a0d1e16126968ccea58f3&pid=1-s2.0-S0039606010006872-main.pdf,10.1016/S0039-6060(10)00687-2,2/28/11,Surgery,CANNOT GET ACCESS,,Hemorrhagic shock,Neutrophils,217421
10,Surgical Treatment of Primary Sternal Osteomyelitis,http://www.sciencedirect.com/science/article/pii/S0003497510638337/pdfft?md5=67490fd77ec24528636e81cafbfb6d8e&pid=1-s2.0-S0003497510638337-main.pdf,10.1016/S0003-4975(10)63833-7,6/30/75,The Annals of Thoracic Surgery,M. Hossein Mir-Sepasi & Alan B. Gazzaniga & Robert H. Bartlett,Research article,Blood loss,Neutrophils,21883
11,Analysis of phosphorescence in heterogeneous systems using distributions of quencher concentration,http://www.sciencedirect.com/science/article/pii/S0006349597780846/pdfft?md5=5f5a31c237710e1f99d1f8f3cd253b91&pid=1-s2.0-S0006349597780846-main.pdf,10.1016/S0006-3495(97)78084-6,7/31/97,Biophysical Journal,A. S. Golub & A. S. Popel & L. Zheng & R. N. Pittman,Short communication,Hemorrhagic shock,Parameters,308233
12,INFORM,http://www.sciencedirect.com/science/article/pii/0379073885901471/pdfft?md5=a00a16b1f3096e0c6501bea12b786e9b&pid=1-s2.0-0379073885901471-main.pdf,10.1016/0379-0738(85)90147-1,4/30/85,Forensic Science International,CANNOT GET ACCESS,,Blunt trauma,Temperature,132681
13,Ruptured uterus and the partograph,http://www.sciencedirect.com/science/article/pii/S0020729202003077/pdfft?md5=4174f9c8f5836746d361ce93a5d817bf&pid=1-s2.0-S0020729202003077-main.pdf,10.1016/S0020-7292(02)00307-7,2/28/03,International Journal of Gynecology & Obstetrics,J. D. Seffah,Short communication,Hemorrhagic shock,(NO),232713
14,The role of parieto-temporal connectivity in pure neglect dyslexia,http://www.sciencedirect.com/science/article/pii/S0006899316305157/pdfft?md5=cc0e6cde66466f93d097e96ad4cb8b8f&pid=1-s2.0-S0006899316305157-main.pdf,10.1016/j.brainres.2016.07.033,10/1/16,Brain Research,Radek Ptak & Marie Di Pietro & Jean-Michel Pignat,Research article,Disseminated intravascular coagulation,Imaging,37937
15,Early free tissue transfer following gangrene of the feet,http://www.sciencedirect.com/science/article/pii/S0007122605000299/pdfft?md5=628e370f09cca426bd40fdd34a6e2eb7&pid=1-s2.0-S0007122605000299-main.pdf,10.1016/j.bjps.2005.02.002,7/31/05,British Journal of Plastic Surgery,Sherine S. Raveendran & A. Mosahebi & V. V. Ramakrishnan,Research article,Disseminated intravascular coagulation,(NO),255293
16,Limbal-based vs Fornix-based Conjunctival Flaps in Combined Extracapsular Cataract Surgery and Glaucoma Filtering Procedure,http://www.sciencedirect.com/science/article/pii/S0002939414724419/pdfft?md5=6654141ad08090be705b385bb9970ecf&pid=1-s2.0-S0002939414724419-main.pdf,10.1016/S0002-9394(14)72441-9,6/30/90,American Journal of Ophthalmology,J. Franklin Murchison & M. Bruce Shields,Research article,Blunt trauma,Sodium,25304
17,Temporal bone and brain stem histopathological findings in Cornelia de Lange syndrome,http://www.sciencedirect.com/science/article/pii/0165587696013390/pdfft?md5=261fc2a0ca44fa86dd53402e29f577f2&pid=1-s2.0-0165587696013390-main.pdf,10.1016/0165-5876(96)01339-0,8/31/96,International Journal of Pediatric Otorhinolaryngology,Toru Sasaki & Kimitaka Kaga & Yasuyuki Ohira & Yoshihiro Ogawa & Yoshimitsu Fukushima,Research article,Hemorrhagic shock,Pathologic,317318
18,Intrapericardial herniation of the stomach after use of the right gastroepiploic artery for coronary artery bypass grafting,http://www.sciencedirect.com/science/article/pii/S0022522398703009/pdfft?md5=6ac0363ee364c72d54c922a03b153ed2&pid=1-s2.0-S0022522398703009-main.pdf,10.1016/S0022-5223(98)70300-9,2/28/98,The Journal of Thoracic and Cardiovascular Surgery,Frank Manetta & Darroch W. O. Moores & Edward V. Bennett & Niloo M. Edwards,Research article,Blunt trauma,Risk factors,10863
19,HÃ©mopÃ©ritoine secondaire Ã  la rupture des veines superficielles dâ€™un lÃ©iomyome utÃ©rin,http://www.sciencedirect.com/science/article/pii/S1297958901002806/pdfft?md5=dfd22f0b358bf2b3cda3478bf7ad3a81&pid=1-s2.0-S1297958901002806-main.pdf,10.1016/S1297-9589(01)00280-6,2/28/02,GynÃ©cologie ObstÃ©trique & FertilitÃ©,J Sakhri & D Bakir & Y Sabri & H Ammara,Short communication,Hemorrhagic shock,Diagnostic,45050
